Text,Class
Get admin-project associations for a specific project type.,DB
Retrieve admin-project associations created after a certain timestamp.,DB
List admin-project associations with a specific project lead.,DB
Find admin-project associations where the admin is a super admin.,DB
Get admin-project associations for projects with a specific avatar.,DB
Retrieve admin-project associations with a specific project URL.,DB
List admin-project associations for projects with a certain description.,DB
Find admin-project associations for projects of a specific company size.,DB
Get admin-project associations for projects of a specific project name.,DB
Retrieve admin-project associations for projects with a certain project type and an admin's job role.,DB
List admin-project associations for projects of a specific industry and owned by a super admin.,DB
Find admin-project associations for projects that have no company associated.,DB
Retrieve all groups.,DB
Find a group by its ID.,DB
List all enabled groups.,DB
Get the total number of groups.,DB
Retrieve groups with a specific name.,DB
List groups for a specific project.,DB
Find groups with a certain description.,DB
Get groups created after a certain timestamp.,DB
Retrieve groups with a specific name and description.,DB
List groups for projects of a specific project type.,DB
Find groups associated with projects owned by a specific company.,DB
Get groups with a name similar to a specific keyword.,DB
Retrieve groups with names in a list of specific names.,DB
List groups for projects with a specific avatar.,DB
Find groups for projects with a specific URL.,DB
Get groups sorted by their creation date in descending order.,DB
Retrieve groups for projects of a certain project lead.,DB
List groups for projects owned by companies of a specific industry.,DB
Find groups with descriptions containing specific keywords.,DB
Get groups for projects with a specific project type and owned by a specific company size.,DB
Retrieve all admins.,DB
Find an admin by their ID.,DB
List all enabled admins.,DB
Get the total number of admins.,DB
Retrieve admins with a specific first name.,DB
List admins for a specific company.,DB
Find admins with a certain job role.,DB
Get admins created after a certain timestamp.,DB
Retrieve admins with a specific email address.,DB
List admins who are super admins.,DB
Find admins with a last name similar to a specific keyword.,DB
Get admins with usernames containing a specific keyword.,DB
Retrieve admins with both a first name and last name matching specific values.,DB
List admins for projects with a specific project type.,DB
Find admins associated with a project owned by a specific company.,DB
Get admins sorted by their creation date in descending order.,DB
Retrieve admins who are not super admins.,DB
List admins for projects with a specific avatar.,DB
Find admins who have been activated.,DB
Retrieve all training templates.,DB
Find a training template by its ID.,DB
List enabled training templates.,DB
Get the total number of training templates.,DB
Retrieve training templates with a specific title.,DB
List training templates that are phishing simulations.,DB
Find training templates with a certain description.,DB
Get training templates created after a certain timestamp.,DB
Retrieve training templates with a specific file path ID.,DB
List training templates with a thumbnail ID matching a specific value.,DB
Find training templates with a description containing a specific keyword.,DB
Get training templates with a title similar to a specific keyword.,DB
Retrieve training templates created after a specific date and are enabled.,DB
List training templates with a certain MIME type.,DB
Find training templates that are not phishing simulations.,DB
Get training templates sorted by their creation date in ascending order.,DB
Retrieve training templates with specific file path and thumbnail IDs.,DB
List training templates with a specific extension.,DB
Find training templates with a title similar to a specific keyword and are enabled.,DB
Retrieve all users.,DB
Find a user by their ID.,DB
List enabled users.,DB
Get the total number of users.,DB
Retrieve users with a specific email address.,DB
List users belonging to a certain project.,DB
Find users who are offended.,DB
Get users with a specific first name.,DB
Retrieve users created after a specific timestamp.,DB
List users belonging to a certain group.,DB
Find users who are compromised and belong to a specific project.,DB
Get users with a specific role ID.,DB
Retrieve users with a specific last name.,DB
List users who are neither offended nor compromised.,DB
Find users who are simulated and belong to a certain project and have a specific role.,DB
Get users who are offended or compromised.,DB
Retrieve users created before a specific date and are enabled.,DB
List users who belong to multiple groups.,DB
Find users who are compromised and belong to a group with a specific name.,DB
Retrieve all campaign email templates.,DB
Find a campaign email template by its ID.,DB
List enabled campaign email templates.,DB
Get the total number of campaign email templates.,DB
Retrieve campaign email templates for a specific campaign.,DB
Find campaign email templates associated with a specific email template.,DB
List campaign email templates with a custom template.,DB
Get campaign email templates created after a specific timestamp.,DB
Retrieve campaign email templates for campaigns that are scheduled.,DB
List campaign email templates for campaigns with a specific status.,DB
Find campaign email templates associated with email templates of a certain brand.,DB
Get campaign email templates for campaigns of a specific type.,DB
Retrieve campaign email templates for campaigns with a custom template and a specific subject.,DB
List campaign email templates for campaigns with a compromise rate above a certain value.,DB
Find campaign email templates with custom templates that reference specific documents.,DB
Get campaign email templates associated with email templates from a certain industry.,DB
Retrieve campaign email templates for campaigns in a specific timezone.,DB
List campaign email templates with custom templates longer than a specific length.,DB
Find campaign email templates associated with email templates that have a compromise rate within a certain range.,DB
Retrieve all user-group associations.,DB
Find user-group associations for a specific user.,DB
List enabled user-group associations.,DB
Get the total number of user-group associations.,DB
Retrieve user-group associations for a specific group.,DB
Find user-group associations where the user belongs to a certain project.,DB
List user-group associations where the group is described with specific text.,DB
Get user-group associations created after a specific timestamp.,DB
Retrieve user-group associations for users with specific roles.,DB
List user-group associations for users who are offended or compromised.,DB
Find user-group associations for users in a specific project and group.,DB
Get user-group associations for users with a certain email domain.,DB
Retrieve user-group associations for groups in a specific project and with specific names.,DB
List user-group associations for users and groups with certain criteria.,DB
Find user-group associations for users and groups that have been updated recently.,DB
Get user-group associations for users and groups with a certain description and project ID.,DB
Retrieve user-group associations for users who are members of multiple groups.,DB
List user-group associations for groups that are enabled and in a specific project.,DB
Find user-group associations for users who are part of groups in a specific project and have a certain role.,DB
Retrieve all user IDs who were caught in any campaign.,DB
Find the total number of campaigns that have been executed.,DB
List all campaigns with custom templates.,DB
Get the names of campaigns that were scheduled.,DB
Find campaigns launched by a specific owner.,DB
Retrieve campaign IDs with a specific status code.,DB
List campaigns with auto-training enabled.,DB
Get campaign names with reminders enabled and a specific frequency.,DB
Find campaigns in a specific timezone.,DB
Retrieve all user IDs who have received training.,DB
Find campaigns that were launched after a specific timestamp.,DB
List campaigns that are not scheduled and have a specific subject.,DB
Get the campaign IDs associated with a specific project.,DB
Retrieve campaign IDs with auto-training and reminders enabled.,DB
Find campaigns of a specific type.,DB
List campaigns with a specific technique ID and owner.,DB
Get campaign names with a specific email profile ID.,DB
Find campaigns with reminders enabled and a specific number.,DB
Retrieve user IDs who have training in progress.,DB
Find campaigns executed before a specific timestamp.,DB
Retrieve all admin IDs belonging to a specific group.,DB
List all admin IDs associated with a particular project.,DB
Get the names of all groups.,DB
Find the admin IDs belonging to multiple groups.,DB
Retrieve all project IDs assigned to a specific admin.,DB
List the names of groups with a specific description.,DB
Find admin IDs who are members of both Group A and Group B.,DB
Get all project IDs associated with a specific admin.,DB
Find groups that are enabled.,DB
Retrieve admin IDs who are part of any group.,DB
List all admin IDs associated with a project with a specific name.,DB
Get the names of groups associated with a project.,DB
Find admin IDs who are members of either Group X or Group Y.,DB
List all admin IDs who are not assigned to any project.,DB
Retrieve project IDs associated with groups having a specific description.,DB
Find admin IDs who are members of Group Z but not Group W.,DB
Get the names of groups associated with any project.,DB
Find the admin IDs who are not part of any group.,DB
List all project IDs associated with enabled groups.,DB
Retrieve all offended techniques.,DB
List all attack techniques.,DB
Get the count of offended techniques for a specific project.,DB
Find the description of an attack technique by its name.,DB
Retrieve offended techniques with counts greater than a certain value.,DB
List the names of all attack techniques.,DB
Find the IDs of offended techniques associated with a specific project.,DB
Get the icon of an attack technique by its name.,DB
Retrieve offended techniques for a project with counts exceeding a threshold.,DB
List the IDs of all attack techniques.,DB
Find the names of offended techniques associated with a specific project.,DB
Get the description and icon of an attack technique by its name.,DB
Retrieve offended techniques for a project ordered by count in descending order.,DB
List the names of attack techniques with enabled status.,DB
Find the count of offended techniques associated with a specific project and attack technique name.,DB
Get the unique icon of an attack technique by its name.,DB
Retrieve the IDs and counts of offended techniques for projects with enabled status.,DB
List the names of attack techniques with descriptions containing a specific keyword.,DB
Find the average count of offended techniques across all projects.,DB
Retrieve all training hub templates.,DB
List all training hubs.,DB
Find the training hub templates for a specific training.,DB
Get the details of a specific training hub by its ID.,DB
Retrieve all training hub templates associated with a specific template.,DB
List the IDs of all training hubs.,DB
Find the training hub templates for a training with a specific ID.,DB
Get the video ID of a specific training hub.,DB
Retrieve training hub templates for trainings with a specific template ID.,DB
List the IDs of all training hub templates.,DB
Find the training hubs with enabled status.,DB
Get the details of a training hub with a specific video ID.,DB
Retrieve training hub templates for trainings with a specific training ID and template ID.,DB
List the names of all training hubs.,DB
Find the training hub templates for trainings with a specific template title.,DB
Get the number of training hubs with enabled status.,DB
Retrieve training hub templates for a specific training and templates with phishing content.,DB
List the descriptions of all training hubs.,DB
Find the average count of training hub templates across all trainings.,DB
Retrieve all offended techniques.,DB
List all projects.,DB
Find the count of offended techniques for a specific project.,DB
Get the details of a specific project by its ID.,DB
Retrieve all offended techniques associated with a specific attack technique.,DB
List the IDs of all projects.,DB
Find the count of offended techniques for a specific attack technique.,DB
Get the project name of a specific project.,DB
Retrieve offended techniques for projects with a specific project type.,DB
List the names of all projects.,DB
Find the total count of offended techniques.,DB
Get the project description of a specific project.,DB
Retrieve offended techniques for projects with a specific project lead ID.,DB
List the types of all projects.,DB
Find the average count of offended techniques across all projects.,DB
Retrieve offended techniques for projects with a specific company ID and a count greater than a certain value.,DB
Get the project lead ID of a specific project.,DB
Retrieve offended techniques for projects with a specific project name and project type.,DB
Find the maximum count of offended techniques across all projects.,DB
List all users.,DB
List all projects.,DB
Find a user by their email.,DB
Get details of a project by its ID.,DB
List all users in a specific project.,DB
Find a project by its name.,DB
Retrieve users with a specific role.,DB
Find projects with a specific type.,DB
Get users belonging to a specific company.,DB
Retrieve projects with a specific description.,DB
Find users who are offended.,DB
List all projects with a specific avatar.,DB
Find users who are both compromised and simulated.,DB
Get the project lead ID for a specific project.,DB
Retrieve projects with a specific URL.,DB
Find users who are not enabled.,DB
List all projects with a unique company ID.,DB
Find users who are enabled and not compromised.,DB
Get the company ID for a specific project.,DB
Retrieve projects with a specific project lead ID.,DB
List all campaigns.,DB
List all training hubs.,DB
Find a campaign by its name.,DB
Get details of a training hub by its ID.,DB
List all scheduled campaigns.,DB
Find training hubs with training templates.,DB
Retrieve campaigns owned by a specific user.,DB
Find training hubs with specific video IDs.,DB
Get the execution status of a campaign.,DB
Find training hubs with enabled status.,DB
List all campaigns with custom templates.,DB
Retrieve training hubs with specific timestamps.,DB
Find campaigns using a specific email profile.,DB
Get the campaign ID for a specific training hub.,DB
Retrieve campaigns with specific techniques.,DB
Find training hubs with a certain number of templates.,DB
Get the project ID for a specific campaign.,DB
List all campaigns with reminders enabled.,DB
Find training hubs with specific video IDs and timestamps.,DB
List all users who were caught in any campaign.,DB
Retrieve user details by email address.,DB
Find all campaigns in which a specific user participated.,DB
List all users who have not been compromised.,DB
Get the number of users in the system.,DB
Find users who are both offended and compromised.,DB
Retrieve users who belong to a specific project.,DB
List all users who have been trained but have not sent training.,DB
Find users who have a specific role.,DB
Get the total number of users who opened emails in any campaign.,DB
Retrieve users who are neither offended nor compromised.,DB
Find users who have participated in campaigns with a specific status.,DB
List all users who have not been simulated.,DB
Find users who belong to a specific company.,DB
Retrieve users who have been trained and have sent training.,DB
Find users who have participated in campaigns with a specific technique.,DB
List all users who have been caught but have not been trained.,DB
Get the number of users who have been compromised.,DB
Retrieve users who are associated with both a company and a project.,DB
Find users who have participated in campaigns within a specific timezone.,DB
Retrieve all campaigns that are enabled.,DB
Find campaigns that have custom templates.,DB
List campaigns that are scheduled.,DB
Get the names of campaigns that have been executed.,DB
Find campaigns owned by a specific user.,DB
Retrieve campaigns with a specific status.,DB
List campaigns that are launched.,DB
Find campaigns that have reminders enabled.,DB
Get the names of campaigns that use a specific email profile.,DB
Retrieve campaigns with a specific technique ID.,DB
List campaigns that are auto-training enabled.,DB
Find campaigns executed in a specific timezone.,DB
Get the names of campaigns executed after a specific date.,DB
Retrieve campaigns owned by super admins.,DB
List campaigns with a specific email profile and status.,DB
Find campaigns with a specific auto-training ID.,DB
Get the names of campaigns owned by a user with a specific job role.,DB
Retrieve campaigns with a specific subject and type.,DB
List campaigns that have reminders with a specific frequency.,DB
Find campaigns executed by users who are not super admins.,DB
Retrieve all training videos.,DB
Find the names of enabled training videos.,DB
List training videos with a specific description.,DB
Get the names of training videos with a specific poster ID.,DB
Find training videos with a specific path ID.,DB
Retrieve training videos with a specific name.,DB
List training videos created after a specific date.,DB
Get the names of training videos with a specific duration.,DB
Find training videos with a specific MIME type.,DB
Retrieve training videos with a specific extension.,DB
List training videos with a specific poster ID and duration.,DB
Find training videos with a specific original name.,DB
Get the names of training videos with a specific node reference.,DB
Retrieve training videos with a specific description and extension.,DB
List training videos with a specific size.,DB
Find training videos with a specific path ID and MIME type.,DB
Get the names of training videos created before a specific date.,DB
Retrieve training videos with a specific poster ID and name.,DB
List training videos with a specific original name and node reference.,DB
Retrieve all email templates.,DB
Find enabled email templates.,DB
List email templates with a specific description.,DB
Get the titles of email templates with a specific technique ID.,DB
Find email templates with a specific industry.,DB
Retrieve email templates with a specific brand and source.,DB
List email templates with a specific subject and theme.,DB
Find email templates with a compromise rate above a specific value.,DB
Get the descriptions of email templates with a specific file ID.,DB
Retrieve email templates with a specific thumbnail ID and compromise rate.,DB
Find email templates with a specific title and industry.,DB
List email templates with a specific source and subject.,DB
Get the titles of email templates with a specific technique ID and brand.,DB
Retrieve email templates with a specific compromise rate and file ID.,DB
Find email templates with a specific description and theme.,DB
Get the titles of email templates with a specific technique ID and subject.,DB
List email templates with a specific compromise rate below a certain value and industry.,DB
Retrieve email templates with a specific file ID and mime type.,DB
Find email templates with a specific title and file path.,DB
Retrieve all verification tokens.,DB
Find verification tokens with a specific type.,DB
List verification tokens with a specific value.,DB
Get the expiration timestamps of verification tokens for a specific user.,DB
Find verification tokens for activated users.,DB
Retrieve verification tokens with a specific user's email.,DB
List verification tokens for users with a specific job role.,DB
Find verification tokens for users with a specific company ID.,DB
Get the activation status of users associated with verification tokens.,DB
Retrieve verification tokens with a specific username.,DB
List verification tokens for users with a specific phone number.,DB
Find verification tokens with a specific super admin status.,DB
Get the verification tokens for users with a specific role ID.,DB
Retrieve verification tokens with a specific last name.,DB
List verification tokens for users with a specific first name.,DB
Find verification tokens for users with a specific company ID and job role.,DB
Get the verification tokens for users with a specific activation status and super admin status.,DB
Retrieve verification tokens with a specific verify time.,DB
List verification tokens for users with a specific company ID and role ID.,DB
Retrieve all projects.,DB
Find projects with a specific name.,DB
List projects of a specific type.,DB
Get the project lead's ID for a specific project.,DB
Find projects with a specific company ID.,DB
Retrieve projects with a specific description.,DB
List projects in a specific country.,DB
Get the project's URL for a specific project.,DB
Find projects in a specific industry.,DB
List projects with a specific state.,DB
Retrieve projects with a specific company size.,DB
Get the company ID for a specific project.,DB
Find projects in a specific zipcode.,DB
List projects created after a specific date.,DB
Get the names of projects with a specific type and company ID.,DB
Retrieve projects with a specific project lead ID.,DB
List projects with a specific company name.,DB
Find projects with a specific company ID and type.,DB
Get the project lead's ID for all projects.,DB
Retrieve all campaigns.,DB
Find campaigns with a specific name.,DB
List campaigns of a specific type.,DB
Get the campaign owner's name for a specific campaign.,DB
Find campaigns with a specific status.,DB
Retrieve campaigns with a specific technique ID.,DB
List campaigns that are scheduled.,DB
Get the campaign's schedule time for a specific campaign.,DB
Find campaigns with a custom template.,DB
Retrieve campaigns with a specific email profile ID.,DB
List campaigns launched after a specific date.,DB
Get the campaign's timezone for a specific campaign.,DB
Find campaigns owned by a specific person.,DB
Retrieve campaigns with reminders enabled.,DB
List campaigns with auto-training enabled.,DB
Get the campaign's auto-training ID for a specific campaign.,DB
Find campaigns with a specific project ID.,DB
Retrieve campaigns executed before a specific date.,DB
List campaigns with a specific email profile ID and technique ID.,DB
Get the names of campaigns with a specific status and type.,DB
Retrieve all users.,DB
Find a user by their email.,DB
List users who are currently enabled.,DB
Get the first and last names of a specific user.,DB
Find users who belong to a specific company.,DB
"Retrieve users who have the ""Admin"" role.",DB
List users who have been offended.,DB
Get the creation date of a specific user.,DB
Find users who are both compromised and simulated.,DB
Retrieve users who belong to a specific project.,DB
List users who have not been compromised.,DB
Get the role name of a specific user.,DB
Find users who have been both compromised and offended.,DB
Retrieve users who have been simulated but not offended.,DB
List users who have been offended and belong to a specific company.,DB
Get the email of a specific user.,DB
Find users who belong to a specific project and have a certain role.,DB
Retrieve users who have not been compromised and belong to a specific project.,DB
List users who belong to a specific company and are currently enabled.,DB
Get the total count of users.,DB
Retrieve all users who have been caught in a campaign.,DB
Find users who have opened emails in a campaign.,DB
List users who have been trained in a campaign.,DB
Get the campaign ID for a specific user.,DB
Find users who are currently in a training campaign.,DB
Retrieve all users who have not been caught in a campaign.,DB
List users who have opened emails but have not been caught in a campaign.,DB
Get the training ID for a specific user in a campaign.,DB
Find users who have been trained but not yet sent in a campaign.,DB
Retrieve all users who have been caught and opened emails in a campaign.,DB
List users who have opened emails in a campaign and belong to a specific training campaign.,DB
Get the number of users who have been caught in a campaign.,DB
Find users who have been trained and belong to a specific campaign.,DB
Retrieve all users who have been caught and opened emails but not yet trained in a campaign.,DB
List users who have opened emails and belong to a specific training campaign in a campaign.,DB
Get the campaign IDs for a specific user.,DB
Find users who have been caught in a campaign and belong to a specific training campaign.,DB
Retrieve all users who have been caught but not yet opened emails in a campaign.,DB
List users who have been trained in a campaign and belong to a specific training campaign.,DB
Retrieve the names of all campaigns with custom email templates.,DB
Find the campaign ID with the most recent execution date.,DB
List all campaigns that have been scheduled but not yet launched.,DB
Get the number of campaigns with auto-training enabled.,DB
Find the campaigns owned by a specific user.,DB
Retrieve the campaign names with reminders enabled.,DB
"List campaigns of a specific type (e.g., ""Marketing"").",DB
Get the campaign IDs with a status code of 1.,DB
Find campaigns related to a specific project.,DB
Retrieve campaigns executed in a specific timezone.,DB
List campaigns that are both scheduled and have custom templates.,DB
Get the campaign names with a certain email profile ID.,DB
Find campaigns where auto-training is enabled and reminders are disabled.,DB
Retrieve campaigns executed in a specific timezone with custom templates.,DB
List campaigns with custom templates that belong to a specific project.,DB
Get the campaign names with reminders enabled and a specific email profile ID.,DB
Find campaigns with a specific technique ID and auto-training enabled.,DB
Retrieve campaigns with custom templates and a specific email profile ID.,DB
List campaigns that are scheduled and have reminders enabled in a specific timezone.,DB
Get the campaign names with auto-training enabled and a specific technique ID.,DB
"Retrieve all email profiles with a specific protocol (e.g., ""SMTP"").",DB
Find the names of projects with no associated email profiles.,DB
"List all email profiles for a specific project by project name (e.g., ""Project A"").",DB
"Get the email profiles with a specific server address (e.g., ""smtp.example.com"").",DB
Find the project names and their associated email profiles.,DB
"Retrieve all email profiles with a specific port number (e.g., 587).",DB
List all projects with more than three associated email profiles.,DB
"Get the email profiles for projects with ""Type A"" as their project type.",DB
"Find the email profiles with usernames containing ""admin.""",DB
Retrieve all projects with no associated email profiles.,DB
List all email profiles with enabled status.,DB
Get the project names and their associated email profiles for projects with a project lead.,DB
Find the email profiles for projects created after a specific date.,DB
Retrieve all projects with unique company IDs.,DB
"List all email profiles with specific email addresses (e.g., ""example@example.com"").",DB
Get the project names and their associated email profiles for projects without a project lead.,DB
Find the email profiles with passwords containing a specific substring.,DB
Retrieve all projects with a specific project lead ID.,DB
List all email profiles with disabled status.,DB
List all admins who are super admins.,DB
Retrieve all admins who belong to a specific company by company ID.,DB
"Get the first names of admins who have the job role ""Manager.""",DB
Find all admins who have been activated and have a phone number.,DB
List all admins who are not super admins.,DB
"Get the usernames of admins with the last name ""Smith.""",DB
"Retrieve all admins who have a specific email address (e.g., ""admin@example.com"").",DB
"Find all admins who are super admins and have a job role of ""Admin Lead.""",DB
Get the last names of admins who have not been activated.,DB
List all admins who belong to a specific group by group ID.,DB
Retrieve all admins who have a specific role by role ID.,DB
"Find all admins who have been activated and have a job role of ""Analyst.""",DB
"Get the email addresses of admins who have a specific job role (e.g., ""Developer"").",DB
"Retrieve all admins who have a specific first name (e.g., ""John"").",DB
Find all admins who belong to a specific project by project ID.,DB
Get the usernames of admins who have been verified after a specific timestamp.,DB
List all admins who are super admins and belong to a specific company by company ID.,DB
"Retrieve all admins who have not been activated and have a job role of ""Support.""",DB
"Find all admins who have a specific last name (e.g., ""Johnson"").",DB
List all trigger names and groups for a specific scheduler.,DB
Retrieve trigger details including description and trigger state for a given trigger name and group.,DB
Find the next fire time for a trigger with a specific name and group.,DB
Get the trigger names and groups associated with a specific job name and group.,DB
List all triggers that have a specific trigger type.,DB
Retrieve the trigger state for all triggers in the database.,DB
Find the trigger names and groups with a specific misfire instruction.,DB
Get trigger names and groups with a specific trigger state and next fire time.,DB
List all trigger names and groups that belong to a specific job name and group.,DB
Retrieve trigger details for triggers with a specific priority.,DB
Find triggers with a specific calendar name.,DB
Get trigger names and groups with a specific trigger state and misfire instruction.,DB
List all trigger names and groups with next fire time in a specific range.,DB
Retrieve trigger details for triggers in a specific scheduler and with a given trigger type.,DB
Find triggers with a specific misfire instruction and trigger state.,DB
Get trigger names and groups with a specific next fire time and trigger state.,DB
List all trigger names and groups with a specific trigger type and priority.,DB
Retrieve trigger details for triggers with a specific calendar name and trigger type.,DB
"Find triggers with a specific next fire time, trigger state, and misfire instruction.",DB
Retrieve all cron triggers and their cron expressions.,DB
Find the job names and groups associated with a specific cron trigger.,DB
List all cron triggers with a specific time zone.,DB
Get cron triggers that have a specific trigger type.,DB
Retrieve the next fire time for a specific cron trigger.,DB
Find the cron triggers with a specific misfire instruction.,DB
Get cron triggers that belong to a specific calendar name.,DB
List all cron triggers with a specific priority.,DB
Retrieve the job name and group for cron triggers with a specific trigger state.,DB
Find cron triggers with a specific next fire time and trigger state.,DB
Get cron triggers that have a specific description.,DB
Retrieve cron triggers with a specific start time.,DB
Find cron triggers with a specific end time and trigger state.,DB
Get cron triggers with a specific trigger type and misfire instruction.,DB
"Retrieve cron triggers with a specific job name, group, and trigger state.",DB
Find cron triggers with a specific time zone and cron expression.,DB
Get cron triggers with a specific trigger state and next fire time.,DB
"Retrieve cron triggers with a specific job name and group, start time, and end time.",DB
"Find cron triggers with a specific priority, misfire instruction, and trigger state.",DB
Retrieve all simple triggers and their repeat counts.,DB
Find the job names and groups associated with specific simple triggers.,DB
List all simple triggers with a specific repeat interval.,DB
Get simple triggers that have a specific trigger type.,DB
Retrieve the next fire time for a specific simple trigger.,DB
Find simple triggers with a specific misfire instruction.,DB
Get simple triggers that belong to a specific calendar name.,DB
List all simple triggers with a specific priority.,DB
Retrieve the job name and group for simple triggers with a specific trigger state.,DB
Find simple triggers with a specific next fire time and trigger state.,DB
Get simple triggers that have a specific description.,DB
Retrieve simple triggers with a specific start time.,DB
Find simple triggers with a specific end time and trigger state.,DB
Get simple triggers with a specific trigger type and misfire instruction.,DB
"Retrieve simple triggers with a specific job name, group, and trigger state.",DB
Find simple triggers with a specific repeat count and repeat interval.,DB
Get simple triggers with a specific trigger state and next fire time.,DB
"Retrieve simple triggers with a specific job name and group, start time, and end time.",DB
"Find simple triggers with a specific repeat interval, trigger type, and trigger state.",DB
"Get simple triggers with a specific trigger type, misfire instruction, and trigger state.",DB
Retrieve all simple properties of triggers with a specific str_prop_1 value.,DB
Find triggers with a specific bool_prop_2 value and their associated job names.,DB
List triggers with specific int_prop_1 and int_prop_2 values.,DB
Get triggers with a specific str_prop_3 value and their associated trigger groups.,DB
Retrieve triggers with a specific long_prop_1 value and their trigger types.,DB
Find triggers with a specific long_prop_2 value and their associated trigger states.,DB
List triggers with a specific dec_prop_1 value and their associated descriptions.,DB
Get triggers with a specific dec_prop_2 value and their priorities.,DB
Retrieve triggers with a specific time_zone_id value and their next fire times.,DB
Find triggers with a specific trigger_state value and their previous fire times.,DB
List triggers with a specific trigger_type value and their calendar names.,DB
Get triggers with a specific misfire_instr value and their job data.,DB
Retrieve triggers with a specific job_name value and their descriptions.,DB
Retrieve all trigger names from the qrtz_triggers table.,DB
Find the trigger with the highest priority and its description.,DB
List all triggers in a specific state and their trigger types.,DB
Get the job names associated with triggers in a specific calendar.,DB
Retrieve triggers with a specific misfire instruction value and their trigger groups.,DB
Find triggers with a specific trigger type and their trigger groups.,DB
List triggers with a specific trigger state and their job names.,DB
Get the descriptions of triggers with a specific trigger group.,DB
Retrieve triggers with a specific job name and their trigger states.,DB
Find triggers with a specific job group and their next fire times.,DB
List triggers with a specific trigger group and their previous fire times.,DB
Get triggers with a specific start time and their end times.,DB
Retrieve triggers with a specific end time and their job groups.,DB
Find triggers with a specific calendar name and their trigger types.,DB
List triggers with a specific trigger state and their misfire instructions.,DB
Get the trigger names associated with triggers in a specific job group.,DB
Retrieve triggers with a specific job class name and their trigger types.,DB
Find triggers with a specific request recovery flag and their descriptions.,DB
List triggers with a specific job data and their job names.,DB
Get the trigger groups associated with triggers in a specific schedule name.,DB
Retrieve all campaigns.,DB
List the names of campaigns that have been executed.,DB
Find the campaign names owned by 'John Doe'.,DB
Get the campaign names that are scheduled.,DB
Retrieve the names of campaigns with custom templates.,DB
List the campaign names that have reminders.,DB
Find the campaign names with reminders every 7 days.,DB
Get the campaign names that belong to project ID 123.,DB
Find the campaign names using a specific attack technique.,DB
Retrieve campaigns launched after '2023-01-01'.,DB
List the campaigns with 'Phishing' as the subject.,DB
Find campaigns with 'Email' as the type.,DB
Get the campaign names that are auto-training enabled.,DB
Retrieve campaign names with reminders more than 3.,DB
List campaigns with custom templates owned by 'Alice'.,DB
Find campaigns scheduled after '2023-07-01'.,DB
Get the campaign names owned by 'Bob' and are launched.,DB
Retrieve campaigns executed on '2023-05-15'.,DB
List campaigns with reminders every 14 days or more.,DB
Find campaigns with a specific timezone.,DB
Retrieve all training hubs.,DB
List the names of enabled training hubs.,DB
Find the IDs of training hubs with training templates.,DB
Get the names of training videos with descriptions.,DB
Retrieve the IDs of training hubs with a specific video.,DB
List the names of training videos that are enabled.,DB
Find training hubs created after '2023-01-01'.,DB
Get the names of training videos with a specific poster.,DB
Retrieve training hubs with training templates.,DB
List the names of training videos with unique names.,DB
Find training hubs with updated timestamps.,DB
Get the names of training videos that are not enabled.,DB
Retrieve training hubs with a specific ID.,DB
List training videos with descriptions containing 'tips'.,DB
Find training hubs that are not enabled.,DB
Get the names of training videos with a specific path.,DB
Retrieve training hubs with training templates and videos.,DB
List training videos with descriptions not containing 'demo'.,DB
Find training hubs created or updated after '2023-06-01'.,DB
Retrieve all users in campaigns.,DB
List users who have been caught.,DB
Find users who have not been opened.,DB
Get users who have been trained.,DB
Retrieve all users who received training.,DB
List users who have not received training.,DB
Find users who are currently in training.,DB
Get users who have been caught and opened.,DB
Retrieve users who have been trained but not sent.,DB
"List users who have been offended, compromised, or simulated.",DB
Find users who belong to a specific company.,DB
Get users who have not been updated.,DB
Retrieve all users in a specific project.,DB
List users with a specific role.,DB
Find users who are enabled and not compromised.,DB
Get users who have been compromised but not simulated.,DB
Retrieve users who have been offended and belong to a specific role.,DB
List users who have been caught in a specific campaign.,DB
Find users who have been caught and trained in the same campaign.,DB
Get users who have been trained in a specific training hub.,DB
Retrieve all admin-project associations.,DB
List projects that are enabled.,DB
Find projects with a specific name.,DB
Get projects with a specific type.,DB
Retrieve projects that have an associated company.,DB
List projects that do not have a company association.,DB
Find projects with a specific project lead.,DB
Get admin-project associations for a specific admin.,DB
Retrieve projects associated with a specific admin.,DB
List admin-project associations for a specific project.,DB
Find projects with an associated admin.,DB
Get projects that have a specific avatar.,DB
Retrieve projects with specific types and enabled status.,DB
List projects with names containing a specific keyword.,DB
Find projects with a description matching a specific pattern.,DB
Get projects associated with a specific company.,DB
Retrieve admin-project associations for a specific project.,DB
List projects that were updated recently.,DB
Find projects with specific URLs.,DB
Get projects that have both a company and a project lead.,DB
Retrieve all enabled training templates.,DB
Find the description of the template with ID 123.,DB
List all templates related to phishing.,DB
Get the titles of all templates.,DB
Show all training templates created after a specific date.,DB
Find templates that were last updated on a given date.,DB
Retrieve the training ID and template ID pairs.,DB
List all training templates with their corresponding hub.,DB
Count the total number of training templates.,DB
Find templates with a specific title.,DB
Get the file path IDs of all templates.,DB
Show all templates related to a specific hub.,DB
Find templates created within a date range.,DB
Retrieve the ID of the template with a specific description.,DB
List all templates without a thumbnail.,DB
Show all enabled training templates with their IDs.,DB
Find templates associated with a specific file path ID.,DB
Get the latest training template.,DB
Find the total number of hub templates.,DB
List all projects led by a specific admin.,DB
